,host_speaking_share,host_speaking_share,host_speaking_share,guest_speaking_share,guest_speaking_share,guest_speaking_share,dominance_ratio,dominance_ratio,dominance_ratio,host_hedge_per_1k,host_hedge_per_1k,host_hedge_per_1k,guest_hedge_per_1k,guest_hedge_per_1k,guest_hedge_per_1k,host_booster_per_1k,host_booster_per_1k,host_booster_per_1k,guest_booster_per_1k,guest_booster_per_1k,guest_booster_per_1k,host_polite_per_1k,host_polite_per_1k,host_polite_per_1k,guest_polite_per_1k,guest_polite_per_1k,guest_polite_per_1k,host_directive_per_1k,host_directive_per_1k,host_directive_per_1k,guest_directive_per_1k,guest_directive_per_1k,guest_directive_per_1k,hedge_asymmetry,hedge_asymmetry,hedge_asymmetry,booster_asymmetry,booster_asymmetry,booster_asymmetry,polite_asymmetry,polite_asymmetry,polite_asymmetry,directive_asymmetry,directive_asymmetry,directive_asymmetry
,median,mad,n,median,mad,n,median,mad,n,median,mad,n,median,mad,n,median,mad,n,median,mad,n,median,mad,n,median,mad,n,median,mad,n,median,mad,n,median,mad,n,median,mad,n,median,mad,n,median,mad,n
dyad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEMALE->FEMALE,0.20242647058823532,0.04733996908241875,50,0.7975735294117647,0.047339969082418665,50,0.2538144997225818,0.07346575828702195,50,6.2876858786809295,2.233695268352291,50,8.404247921227068,3.0524020728528334,50,1.3320667446752812,0.7469242287473528,50,0.9495797676264197,0.48822324741085316,50,2.880049591100145,1.263756899195201,50,0.7410635591938244,0.3544693058659655,50,1.296168672961385,0.7103164364412164,50,1.7345892202066278,0.5813315315695189,50,-1.4098091955789127,2.7705273643096904,50,0.577312828488465,0.9419178320095962,50,2.199065550709206,1.2464100591054281,50,-0.27551890977513716,0.9994319755176373,50
FEMALE->MALE,0.17975732161863928,0.032880949495730796,50,0.8202426783813607,0.03288094949573084,50,0.2191519008766846,0.048666599526310805,50,5.093976489567394,1.844399177800345,50,8.005432615142535,3.7956049712231823,50,0.6859551908407711,0.5273870113937209,50,0.623701836682303,0.38862833469460056,50,2.336545059186447,1.0176914820787306,50,0.7952495425135636,0.30491154693946754,50,1.5438333065203271,0.8868884164610957,50,0.8961452778283606,0.653739433937383,50,-2.408315296644,3.102860155353373,50,-0.13745598641047257,0.49197912423398815,50,1.576536993235639,0.8587872808275802,50,0.3937767487722372,1.3200175783547716,50
MALE->FEMALE,0.2720634319269169,0.04802734974473165,50,0.727936568073083,0.04802734974473161,50,0.3737950451991401,0.088705689812734,50,5.751162976207384,2.527412755149567,50,4.738680878045734,2.1128889423727326,50,0.8549283525130841,0.3927727392024766,50,0.80645999127309,0.44563079022673946,50,1.5900757536984347,0.5138881407675526,50,0.49293888017809917,0.28177615683046364,50,0.8829086387850336,0.5631844441501317,50,0.9248273357902954,0.4655240633612757,50,0.1793917527307869,2.328769546740582,50,0.02933608350842165,0.5109911135954659,50,0.907127645658964,0.6214509326803687,50,-0.10693907790536941,0.6980798502094775,50
MALE->MALE,0.2191441722276693,0.04338401659726193,50,0.7808558277723308,0.04338401659726204,50,0.2806523133599331,0.0737055312713398,50,4.51253447972621,2.018691614531488,50,4.237400489164203,2.6216636989843964,50,0.6490392758500033,0.44649094619569896,50,0.7224994391058015,0.3666259759957769,50,1.8186401613367909,0.8136933861946536,50,0.34396024419620064,0.2173057065068389,50,0.9328463723728688,0.4977534215045202,50,0.7201742980491663,0.4178102665501774,50,0.24199216445495497,1.6126189377465927,50,-0.108398711489959,0.4944145119208744,50,1.3639719400183556,0.74582922750033,50,0.018977861914482613,0.5074338940054172,50
