,host_speaking_share,host_speaking_share,host_speaking_share,host_speaking_share,guest_speaking_share,guest_speaking_share,guest_speaking_share,guest_speaking_share,dominance_ratio,dominance_ratio,dominance_ratio,dominance_ratio,host_hedge_per_1k,host_hedge_per_1k,host_hedge_per_1k,host_hedge_per_1k,guest_hedge_per_1k,guest_hedge_per_1k,guest_hedge_per_1k,guest_hedge_per_1k,host_booster_per_1k,host_booster_per_1k,host_booster_per_1k,host_booster_per_1k,guest_booster_per_1k,guest_booster_per_1k,guest_booster_per_1k,guest_booster_per_1k,host_polite_per_1k,host_polite_per_1k,host_polite_per_1k,host_polite_per_1k,guest_polite_per_1k,guest_polite_per_1k,guest_polite_per_1k,guest_polite_per_1k,host_directive_per_1k,host_directive_per_1k,host_directive_per_1k,host_directive_per_1k,guest_directive_per_1k,guest_directive_per_1k,guest_directive_per_1k,guest_directive_per_1k,hedge_asymmetry,hedge_asymmetry,hedge_asymmetry,hedge_asymmetry,booster_asymmetry,booster_asymmetry,booster_asymmetry,booster_asymmetry,polite_asymmetry,polite_asymmetry,polite_asymmetry,polite_asymmetry,directive_asymmetry,directive_asymmetry,directive_asymmetry,directive_asymmetry
,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count
dyad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEMALE->FEMALE,0.21423829206508027,0.20242647058823532,0.108749366221793,50,0.7857617079349197,0.7975735294117647,0.108749366221793,50,0.3315344808884834,0.2538144997225818,0.4838861150767527,50,6.81050264531269,6.2876858786809295,3.695957617541999,50,9.327564288605018,8.404247921227068,5.715922048756218,50,1.9337360918108633,1.3320667446752812,1.4720632198558343,50,1.1142916204552844,0.9495797676264197,0.8268406488216279,50,3.2472957560284352,2.880049591100145,2.1388193334582746,50,0.8272072140059751,0.7410635591938244,0.4695734547523568,50,1.4736354677779357,1.296168672961385,1.041493871965767,50,1.7544747037417507,1.7345892202066278,0.9225325172596432,50,-2.5170616432923283,-1.4098091955789127,6.31368949562003,50,0.819444471355579,0.577312828488465,1.3780731473563923,50,2.4200885420224596,2.199065550709206,2.189652896806253,50,-0.28083923596381505,-0.27551890977513716,1.2499383878283996,50
FEMALE->MALE,0.18580205921333573,0.17975732161863928,0.06473450224008402,50,0.8141979407866643,0.8202426783813607,0.06473450224008402,50,0.23638179184439914,0.2191519008766846,0.10615177710991848,50,5.697497499833247,5.093976489567394,2.8176367256701367,50,8.87158728549803,8.005432615142535,4.924659768040427,50,0.9486428616783883,0.6859551908407711,1.0908471328612992,50,1.09569199457204,0.623701836682303,1.3841889600389428,50,2.8531419927859996,2.336545059186447,2.239220939386504,50,0.8728299194084725,0.7952495425135636,0.5776399776315712,50,1.8106233216367174,1.5438333065203271,1.433983509850276,50,1.5638285158627374,0.8961452778283606,1.3660077203834655,50,-3.174089785664784,-2.408315296644,4.990032993796768,50,-0.14704913289365162,-0.13745598641047257,1.7459543526845285,50,1.980312073377527,1.576536993235639,2.1444359645541513,50,0.24679480577397986,0.3937767487722372,2.0215567745257714,50
MALE->FEMALE,0.2877024425760666,0.2720634319269169,0.08766331964964474,50,0.7122975574239334,0.727936568073083,0.08766331964964474,50,0.42729555426904214,0.3737950451991401,0.19852236860463063,50,6.226059264369309,5.751162976207384,3.331127692775711,50,6.695525055335469,4.738680878045734,5.773468393621496,50,1.0489408273518805,0.8549283525130841,0.8191155966768108,50,0.9643322741185617,0.80645999127309,0.7109857067052041,50,1.9601101765956437,1.5900757536984347,1.1727290166086957,50,0.7272290732636442,0.49293888017809917,0.7548211567179095,50,1.1185613270516181,0.8829086387850336,0.8721479198398141,50,1.1657270972003386,0.9248273357902954,0.9497043694671211,50,-0.46946579096616015,0.1793917527307869,5.4474338975146335,50,0.084608553233319,0.02933608350842165,0.902167977387775,50,1.2328811033319995,0.907127645658964,1.1014642084317958,50,-0.04716577014872053,-0.10693907790536941,1.069829004103954,50
MALE->MALE,0.2624216945460511,0.2191441722276693,0.14853275159115265,50,0.7375783054539489,0.7808558277723308,0.14853275159115265,50,0.7194429257533704,0.2806523133599331,2.4575609326939283,50,5.3981621883751,4.51253447972621,3.113792427761056,50,5.586896751729661,4.237400489164203,4.615597204072817,50,0.8114039215863142,0.6490392758500033,0.7724636064194732,50,0.8690926894129747,0.7224994391058015,0.6894373194349152,50,2.1346629512692297,1.8186401613367909,1.6694991199021407,50,0.4624526532678637,0.34396024419620064,0.4938704483261957,50,0.9836068350887388,0.9328463723728688,0.8283160638162292,50,0.9611014404885059,0.7201742980491663,1.0290756799164393,50,-0.1887345633545613,0.24199216445495497,4.293709658936009,50,-0.057688767826660395,-0.108398711489959,0.963762366869778,50,1.672210298001366,1.3639719400183556,1.6560744767878324,50,0.022505394600232966,0.018977861914482613,1.120457841373281,50
