episode_id,dyad,host_gender,guest_gender,host_word_count,guest_word_count,total_words,host_speaking_share,guest_speaking_share,dominance_ratio,host_hedge_count,guest_hedge_count,host_hedge_per_1k,guest_hedge_per_1k,host_booster_count,guest_booster_count,host_booster_per_1k,guest_booster_per_1k,host_polite_count,guest_polite_count,host_polite_per_1k,guest_polite_per_1k,host_directive_count,guest_directive_count,host_directive_per_1k,guest_directive_per_1k
ep_248_whisperx_diarized.gender.host_guest,MALE->MALE,male,male,2737,7903,10640,0.25723684210526315,0.7427631578947368,0.3463241806908769,19,104,6.941907197661673,13.15955966088827,1,19,0.3653635367190354,2.40415032266228,2,1,0.7307270734380709,0.126534227508541,3,3,1.0960906101571064,0.3796026825256232
ep_049_whisperx_diarized.gender.host_guest,MALE->MALE,male,male,912,10913,11825,0.0771247357293869,0.9228752642706131,0.08357005406396041,7,50,7.675438596491228,4.5816915605241455,2,11,2.1929824561403506,1.0079721433153122,3,29,3.289473684210526,2.6573811051040046,1,8,1.0964912280701753,0.7330706496838633
ep_270_whisperx_diarized.gender.host_guest,MALE->FEMALE,male,female,3449,9434,12883,0.26771714662733836,0.7322828533726616,0.3655925376298495,7,20,2.029573789504204,2.11999152003392,2,3,0.5798782255726297,0.3179987280050879,7,1,2.029573789504204,0.1059995760016959,2,3,0.5798782255726297,0.3179987280050879
ep_198_whisperx_diarized.gender.host_guest,MALE->FEMALE,male,female,1945,9044,10989,0.176995176995177,0.823004823004823,0.21505970809376382,5,22,2.5706940874035986,2.4325519681556838,1,7,0.5141388174807198,0.7739938080495357,3,2,1.5424164524421595,0.221141088014153,0,17,0.0,1.8796992481203008
ep_079_whisperx_diarized.gender.host_guest,MALE->MALE,male,male,3468,12673,16141,0.21485657642029615,0.7851434235797039,0.27365264736053024,33,18,9.515570934256056,1.420342460348773,3,7,0.8650519031141869,0.5523554012467451,10,5,2.883506343713956,0.3945395723191036,5,23,1.441753171856978,1.8148820326678765
ep_123_whisperx_diarized.gender.host_guest,FEMALE->MALE,female,male,1693,5610,7303,0.23182253868273311,0.7681774613172668,0.3017825311942959,17,51,10.04134672179563,9.09090909090909,0,3,0.0,0.5347593582887701,3,6,1.772002362669817,1.0695187165775402,2,4,1.1813349084465443,0.7130124777183601
ep_019_whisperx_diarized.gender.host_guest,MALE->MALE,male,male,2147,5987,8134,0.26395377428079664,0.7360462257192033,0.3586103223651244,30,77,13.972985561248253,12.861199265074328,1,19,0.4657661853749418,3.1735426757975613,4,7,1.8630647414997672,1.1691999331885754,1,4,0.4657661853749418,0.6681142475363288
ep_316_whisperx_diarized.gender.host_guest,FEMALE->FEMALE,female,female,1760,6072,7832,0.2247191011235955,0.7752808988764045,0.2898550724637681,18,53,10.227272727272728,8.72859025032938,4,12,2.2727272727272725,1.976284584980237,7,5,3.977272727272727,0.8234519104084321,1,14,0.5681818181818181,2.30566534914361
ep_309_whisperx_diarized.gender.host_guest,FEMALE->MALE,female,male,841,7103,7944,0.10586606243705941,0.8941339375629406,0.11840067577080107,4,90,4.756242568370986,12.670702520061946,0,1,0.0,0.1407855835562438,2,6,2.378121284185493,0.844713501337463,0,8,0.0,1.1262846684499508
ep_213_whisperx_diarized.gender.host_guest,MALE->MALE,male,male,4533,9721,14254,0.3180159955100323,0.6819840044899678,0.4663100504063368,10,35,2.2060445621001543,3.6004526283304186,4,4,0.8824178248400617,0.4114803003806193,8,2,1.7648356496801234,0.2057401501903096,6,9,1.3236267372600927,0.9258306758563934
