episode_id,dyad,host_gender,guest_gender,host_word_count,guest_word_count,total_words,host_speaking_share,guest_speaking_share,dominance_ratio,host_hedge_count,guest_hedge_count,host_hedge_per_1k,guest_hedge_per_1k,host_booster_count,guest_booster_count,host_booster_per_1k,guest_booster_per_1k,host_polite_count,guest_polite_count,host_polite_per_1k,guest_polite_per_1k,host_directive_count,guest_directive_count,host_directive_per_1k,guest_directive_per_1k,hedge_asymmetry,booster_asymmetry,polite_asymmetry,directive_asymmetry
ep_248_whisperx_diarized.gender.host_guest,MALE->MALE,male,male,2737,7903,10640,0.2572368421052631,0.7427631578947368,0.3463241806908769,19,104,6.941907197661673,13.15955966088827,1,19,0.3653635367190354,2.40415032266228,2,1,0.7307270734380709,0.126534227508541,3,3,1.0960906101571064,0.3796026825256232,-6.217652463226597,-2.0387867859432447,0.6041928459295298,0.7164879276314833
ep_049_whisperx_diarized.gender.host_guest,MALE->MALE,male,male,912,10913,11825,0.0771247357293869,0.9228752642706132,0.0835700540639604,7,50,7.675438596491228,4.5816915605241455,2,11,2.1929824561403506,1.0079721433153122,3,29,3.289473684210526,2.6573811051040046,1,8,1.0964912280701753,0.7330706496838633,3.0937470359670822,1.1850103128250384,0.6320925791065215,0.36342057838631203
ep_270_whisperx_diarized.gender.host_guest,MALE->FEMALE,male,female,3449,9434,12883,0.2677171466273383,0.7322828533726616,0.3655925376298495,7,20,2.029573789504204,2.11999152003392,2,3,0.5798782255726297,0.3179987280050879,7,1,2.029573789504204,0.1059995760016959,2,3,0.5798782255726297,0.3179987280050879,-0.09041773052971624,0.2618794975675418,1.923574213502508,0.2618794975675418
ep_198_whisperx_diarized.gender.host_guest,MALE->FEMALE,male,female,1945,9044,10989,0.176995176995177,0.823004823004823,0.2150597080937638,5,22,2.5706940874035986,2.432551968155684,1,7,0.5141388174807198,0.7739938080495357,3,2,1.5424164524421595,0.221141088014153,0,17,0.0,1.8796992481203008,0.13814211924791442,-0.2598549905688159,1.3212753644280064,-1.8796992481203008
ep_079_whisperx_diarized.gender.host_guest,MALE->MALE,male,male,3468,12673,16141,0.2148565764202961,0.7851434235797039,0.2736526473605302,33,18,9.515570934256056,1.420342460348773,3,7,0.8650519031141869,0.5523554012467451,10,5,2.883506343713956,0.3945395723191036,5,23,1.441753171856978,1.8148820326678765,8.095228473907284,0.3126965018674418,2.4889667713948525,-0.37312886081089847
ep_123_whisperx_diarized.gender.host_guest,FEMALE->MALE,female,male,1693,5610,7303,0.2318225386827331,0.7681774613172668,0.3017825311942959,17,51,10.04134672179563,9.09090909090909,0,3,0.0,0.5347593582887701,3,6,1.772002362669817,1.0695187165775402,2,4,1.1813349084465443,0.7130124777183601,0.9504376308865403,-0.5347593582887701,0.7024836460922768,0.46832243072818425
ep_019_whisperx_diarized.gender.host_guest,MALE->MALE,male,male,2147,5987,8134,0.2639537742807966,0.7360462257192033,0.3586103223651244,30,77,13.972985561248253,12.861199265074328,1,19,0.4657661853749418,3.1735426757975613,4,7,1.8630647414997672,1.1691999331885754,1,4,0.4657661853749418,0.6681142475363288,1.1117862961739249,-2.7077764904226194,0.6938648083111918,-0.20234806216138695
ep_316_whisperx_diarized.gender.host_guest,FEMALE->FEMALE,female,female,1760,6072,7832,0.2247191011235955,0.7752808988764045,0.2898550724637681,18,53,10.227272727272728,8.72859025032938,4,12,2.2727272727272725,1.976284584980237,7,5,3.977272727272727,0.8234519104084321,1,14,0.5681818181818181,2.30566534914361,1.4986824769433476,0.2964426877470354,3.153820816864295,-1.7374835309617918
ep_309_whisperx_diarized.gender.host_guest,FEMALE->MALE,female,male,841,7103,7944,0.1058660624370594,0.8941339375629406,0.118400675770801,4,90,4.756242568370986,12.670702520061946,0,1,0.0,0.1407855835562438,2,6,2.378121284185493,0.844713501337463,0,8,0.0,1.1262846684499508,-7.91445995169096,-0.1407855835562438,1.53340778284803,-1.1262846684499508
ep_213_whisperx_diarized.gender.host_guest,MALE->MALE,male,male,4533,9721,14254,0.3180159955100323,0.6819840044899678,0.4663100504063368,10,35,2.2060445621001543,3.6004526283304186,4,4,0.8824178248400617,0.4114803003806193,8,2,1.7648356496801234,0.2057401501903096,6,9,1.3236267372600927,0.9258306758563934,-1.3944080662302643,0.4709375244594424,1.5590954994898139,0.3977960614036993
ep_011_whisperx_diarized.gender.host_guest,FEMALE->FEMALE,female,female,1677,7839,9516,0.1762295081967213,0.8237704918032787,0.2139303482587064,10,43,5.963029218843173,5.485393545095038,8,23,4.770423375074538,2.934047710167113,6,5,3.577817531305904,0.6378364587319811,1,10,0.5963029218843172,1.2756729174639625,0.47763567374813487,1.8363756649074245,2.9399810725739233,-0.6793699955796453
ep_016_whisperx_diarized.gender.host_guest,MALE->FEMALE,male,female,2185,8850,11035,0.1980063434526506,0.8019936565473493,0.2468926553672316,9,25,4.118993135011442,2.824858757062147,0,2,0.0,0.2259887005649717,3,4,1.3729977116704806,0.4519774011299435,2,5,0.9153318077803204,0.5649717514124294,1.2941343779492946,-0.2259887005649717,0.921020310540537,0.350360056367891
ep_145_whisperx_diarized.gender.host_guest,FEMALE->FEMALE,female,female,2346,7674,10020,0.2341317365269461,0.7658682634730539,0.3057075840500391,19,51,8.098891730605285,6.645817044566067,3,10,1.278772378516624,1.303101381287464,4,5,1.7050298380221651,0.6515506906437321,6,15,2.557544757033248,1.954652071931196,1.4530746860392174,-0.024329002770839825,1.053479147378433,0.6028926851020522
ep_042_whisperx_diarized.gender.host_guest,MALE->FEMALE,male,female,8450,12602,21052,0.4013870416112483,0.5986129583887516,0.6705284875416601,99,144,11.715976331360949,11.42675765751468,8,17,0.9467455621301776,1.348992223456594,7,8,0.8284023668639053,0.6348198698619266,14,16,1.656804733727811,1.2696397397238532,0.2892186738462694,-0.4022466613264165,0.19358249700197872,0.38716499400395765
ep_132_whisperx_diarized.gender.host_guest,FEMALE->MALE,female,male,1585,6480,8065,0.1965282083075015,0.8034717916924985,0.2445987654320987,7,51,4.416403785488959,7.870370370370369,0,4,0.0,0.6172839506172839,1,7,0.6309148264984228,1.0802469135802468,6,5,3.785488958990536,0.7716049382716049,-3.4539665848814103,-0.6172839506172839,-0.44933208708182404,3.013884020718931
ep_318_whisperx_diarized.gender.host_guest,FEMALE->MALE,female,male,1234,5687,6921,0.1782979338245918,0.8217020661754082,0.2169861086688939,4,123,3.2414910858995136,21.628275013187974,3,1,2.431118314424636,0.1758396342535607,5,3,4.051863857374392,0.5275189027606823,1,14,0.8103727714748784,2.4617548795498507,-18.38678392728846,2.2552786801710756,3.5243449546137096,-1.6513821080749724
ep_287_whisperx_diarized.gender.host_guest,MALE->MALE,male,male,2663,10171,12834,0.2074957145083372,0.7925042854916627,0.2618228296136073,12,63,4.50619601952685,6.194081211286993,0,4,0.0,0.3932749975420312,6,7,2.253098009763425,0.6882312456985547,2,5,0.7510326699211416,0.491593746927539,-1.6878851917601434,-0.3932749975420312,1.5648667640648701,0.2594389229936026
ep_057_whisperx_diarized.gender.host_guest,MALE->FEMALE,male,female,3405,9899,13304,0.2559380637402285,0.7440619362597715,0.3439741388018992,21,35,6.167400881057269,3.535710677846247,6,14,1.762114537444934,1.4142842711384989,16,6,4.698972099853157,0.606121830487928,3,6,0.881057268722467,0.606121830487928,2.6316902032110217,0.3478302663064352,4.092850269365229,0.27493543823453903
ep_114_whisperx_diarized.gender.host_guest,FEMALE->MALE,female,male,1301,5444,6745,0.1928836174944403,0.8071163825055597,0.2389786921381337,6,75,4.611837048424289,13.776634827332844,1,17,0.7686395080707148,3.1227038941954444,1,6,0.7686395080707148,1.1021307861866274,4,15,3.074558032282859,2.755326965466569,-9.164797778908554,-2.3540643861247297,-0.3334912781159126,0.3192310668162901
ep_217_whisperx_diarized.gender.host_guest,MALE->MALE,male,male,2283,7214,9497,0.2403917026429398,0.7596082973570601,0.3164679789298586,8,25,3.504161191414805,3.4654837815359025,1,6,0.4380201489268506,0.8317161075686166,2,7,0.8760402978537013,0.9703354588300528,0,2,0.0,0.2772387025228722,0.03867740987890267,-0.393695958641766,-0.09429516097635149,-0.2772387025228722
