episode_id,speaker_id,role,gender,word_count,hedge_count,hedge_per_1k,booster_count,booster_per_1k,polite_count,polite_per_1k,directive_count,directive_per_1k
ep_108_whisperx_diarized.gender.host_guest,SPEAKER_00,HOST,male,2901,24,8.273009307135471,3,1.0341261633919339,5,1.723543605653223,6,2.0682523267838677
ep_108_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,male,17203,45,2.6158228216008834,11,0.6394233563913271,14,0.8138115444980527,15,0.8719409405336278
ep_001_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,male,1941,12,6.182380216383307,5,2.575991756826378,11,5.667181865018033,1,0.5151983513652757
ep_001_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,male,4165,67,16.086434573829532,3,0.7202881152460984,0,0.0,27,6.482593037214886
ep_020_whisperx_diarized.gender.host_guest,SPEAKER_00,HOST,male,8917,119,13.345295502971851,7,0.785017382527756,1,0.112145340361108,22,2.4671974879443757
ep_020_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,male,2309,9,3.8977912516240796,2,0.8661758336942399,3,1.29926375054136,2,0.8661758336942399
ep_049_whisperx_diarized.gender.host_guest,SPEAKER_00,HOST,male,2893,8,2.76529554096094,1,0.3456619426201175,9,3.110957483581058,2,0.691323885240235
ep_049_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,male,15825,16,1.0110584518167458,1,0.06319115323854661,2,0.12638230647709323,2,0.12638230647709323
ep_095_whisperx_diarized.gender.host_guest,SPEAKER_00,HOST,male,15325,76,4.959216965742252,36,2.3491027732463294,17,1.1092985318107667,14,0.9135399673735727
ep_095_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,female,2039,63,30.89749877390878,12,5.88523786169691,1,0.4904364884747425,7,3.4330554193231975
ep_079_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,male,3467,33,9.51831554658206,3,0.8653014133256418,10,2.884338044418806,5,1.442169022209403
ep_079_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,male,12694,18,1.4179927524814873,7,0.5514416259650228,5,0.39388687568930203,23,1.8118796281707894
ep_019_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,male,5987,77,12.861199265074328,19,3.1735426757975613,7,1.1691999331885754,4,0.6681142475363288
ep_019_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,male,2147,30,13.972985561248253,1,0.4657661853749418,4,1.8630647414997672,1,0.4657661853749418
ep_005_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,unknown,1817,16,8.805723720418271,2,1.100715465052284,2,1.100715465052284,1,0.550357732526142
ep_005_whisperx_diarized.gender.host_guest,SPEAKER_00,HOST,male,5163,102,19.755955839628122,15,2.905287623474724,5,0.968429207824908,5,0.968429207824908
ep_058_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,male,2384,16,6.7114093959731544,3,1.2583892617449663,8,3.3557046979865772,2,0.8389261744966443
ep_058_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,female,6403,50,7.808839606434484,11,1.7179447134155865,2,0.31235358425737936,4,0.6247071685147587
ep_011_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,female,7839,43,5.485393545095038,23,2.934047710167113,5,0.6378364587319811,10,1.2756729174639623
ep_011_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,female,1677,10,5.963029218843173,8,4.770423375074538,6,3.5778175313059033,1,0.5963029218843172
ep_016_whisperx_diarized.gender.host_guest,SPEAKER_00,HOST,male,2185,9,4.118993135011442,0,0.0,3,1.3729977116704806,2,0.9153318077803204
ep_016_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,female,8850,25,2.824858757062147,2,0.22598870056497175,4,0.4519774011299435,5,0.5649717514124294
ep_042_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,male,6482,47,7.250848503548288,6,0.9256402344955261,20,3.08546744831842,11,1.6970070965751312
ep_042_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,female,13943,109,7.817542853044538,9,0.6454851897009252,12,0.8606469196012335,23,1.6495732625690311
ep_094_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,male,4369,67,15.335317006179903,6,1.373311970702678,14,3.2043945983062483,10,2.2888532845044636
ep_094_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,male,12682,84,6.623560952531147,47,3.7060400567733796,28,2.2078536508437154,10,0.7885191610156126
ep_057_whisperx_diarized.gender.host_guest,SPEAKER_00,HOST,unknown,3410,21,6.158357771260998,6,1.7595307917888563,16,4.69208211143695,3,0.8797653958944281
ep_057_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,female,9959,37,3.7152324530575362,13,1.3053519429661613,6,0.6024701275228437,6,0.6024701275228437
ep_100_whisperx_diarized.gender.host_guest,SPEAKER_00,HOST,male,8793,80,9.098146252701012,8,0.9098146252701013,6,0.6823609689525759,10,1.1372682815876265
ep_100_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,male,3317,31,9.345794392523365,3,0.9044317154054868,14,4.220681338558939,7,2.1103406692794695
ep_048_whisperx_diarized.gender.host_guest,SPEAKER_00,HOST,male,2959,17,5.745184183845894,5,1.6897600540723217,9,3.0415680973301793,0,0.0
ep_048_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,male,8584,37,4.310344827586206,3,0.3494874184529357,3,0.3494874184529357,13,1.5144454799627214
ep_055_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,male,4866,48,9.864364981504316,5,1.0275380189066994,14,2.877106452938759,4,0.8220304151253596
ep_055_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,female,17333,140,8.07707840535395,7,0.40385392026769745,3,0.1730802515432989,14,0.8077078405353949
ep_093_whisperx_diarized.gender.host_guest,SPEAKER_00,HOST,female,14534,88,6.054768129902299,1,0.0688041832943443,35,2.4081464153020504,12,0.8256501995321315
ep_093_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,female,7486,60,8.014961261020572,3,0.40074806305102856,19,2.5380710659898473,12,1.6029922522041142
ep_012_whisperx_diarized.gender.host_guest,SPEAKER_00,HOST,male,20339,238,11.701656915285904,16,0.7866660111116573,9,0.4424996312503073,8,0.3933330055558287
ep_012_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,male,2716,11,4.050073637702504,3,1.1045655375552283,8,2.945508100147275,7,2.577319587628866
ep_027_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,male,10704,29,2.7092675635276535,13,1.2144992526158445,8,0.7473841554559043,10,0.9342301943198804
ep_027_whisperx_diarized.gender.host_guest,SPEAKER_00,HOST,male,2974,11,3.6987222595830533,11,3.6987222595830533,3,1.008742434431742,11,3.6987222595830533
ep_062_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,male,1928,16,8.298755186721992,5,2.5933609958506225,1,0.5186721991701245,2,1.037344398340249
ep_062_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,male,10221,45,4.402700322864691,3,0.293513354857646,0,0.0,3,0.293513354857646
ep_009_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,female,6603,41,6.209298803574133,4,0.6057852491291837,22,3.3318188702105105,6,0.9086778736937755
ep_009_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,male,2628,30,11.415525114155251,3,1.141552511415525,5,1.9025875190258752,6,2.28310502283105
ep_065_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,male,10955,32,2.921040620721132,17,1.5518028297581012,2,0.18256503879507074,6,0.5476951163852122
ep_065_whisperx_diarized.gender.host_guest,SPEAKER_00,HOST,male,5195,39,7.507218479307026,23,4.427333974975939,14,2.694898941289702,15,2.8873917228103942
ep_073_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,male,4420,34,7.6923076923076925,7,1.583710407239819,8,1.8099547511312217,3,0.6787330316742081
ep_073_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,male,23317,133,5.703992794956469,36,1.5439378993867134,14,0.6004202942059441,33,1.4152764077711542
ep_061_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,male,5348,42,7.853403141361256,4,0.7479431563201197,15,2.804786836200449,7,1.3089005235602096
ep_061_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,female,16501,34,2.0604811829586085,7,0.424216714138537,4,0.2424095509363069,12,0.7272286528089207
ep_029_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,male,3820,19,4.973821989528796,4,1.0471204188481678,10,2.617801047120419,3,0.7853403141361257
ep_029_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,male,21083,99,4.695726414646872,11,0.521747379405208,5,0.23715789972964,17,0.806336859080776
ep_017_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,male,7907,80,10.117617301125586,10,1.2647021626406982,28,3.541166055393955,11,1.391172378904768
ep_017_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,female,14090,263,18.665720369056068,25,1.7743080198722496,19,1.3484740951029097,24,1.7033356990773598
ep_035_whisperx_diarized.gender.host_guest,SPEAKER_00,HOST,male,10574,11,1.0402874976357102,17,1.607717041800643,9,0.8511443162473993,11,1.0402874976357102
ep_035_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,male,3438,29,8.435136707388015,9,2.617801047120419,23,6.689936009307737,10,2.9086678301337985
ep_034_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,male,6729,12,1.7833259028087383,0,0.0,4,0.5944419676029128,8,1.1888839352058256
ep_034_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,male,1316,3,2.2796352583586623,0,0.0,7,5.319148936170213,1,0.7598784194528876
ep_039_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,male,3424,20,5.841121495327102,17,4.964953271028037,3,0.8761682242990654,11,3.2126168224299065
ep_039_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,male,10895,38,3.4878384580082606,19,1.7439192290041303,4,0.36714089031665903,10,0.9178522257916476
ep_046_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,male,13631,48,3.5213850781307316,6,0.44017313476634146,9,0.6602597021495121,13,0.9537084586604064
ep_046_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,male,5142,57,11.085180863477246,5,0.9723842862699338,6,1.1668611435239205,4,0.7779074290159471
ep_107_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,male,10388,56,5.3908355795148255,2,0.19252984212552945,21,2.0215633423180592,19,1.8290335001925297
ep_107_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,male,2460,14,5.691056910569106,0,0.0,17,6.9105691056910565,2,0.8130081300813008
ep_013_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,female,6579,50,7.5999392004863955,6,0.9119927040583675,2,0.3039975680194558,4,0.6079951360389116
ep_013_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,female,1738,14,8.05523590333717,5,2.8768699654775607,5,2.8768699654775607,1,0.5753739930955121
ep_103_whisperx_diarized.gender.host_guest,SPEAKER_00,HOST,male,5375,60,11.162790697674419,3,0.5581395348837209,11,2.046511627906977,8,1.4883720930232558
ep_103_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,male,5859,45,7.680491551459293,9,1.5360983102918586,10,1.7067759003242873,2,0.3413551800648575
ep_088_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,male,3908,30,7.676560900716479,11,2.8147389969293757,7,1.7911975435005119,10,2.5588536335721597
ep_088_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,female,3145,107,34.02225755166931,3,0.9538950715421304,1,0.3179650238473768,14,4.4515103338632755
ep_052_whisperx_diarized.gender.host_guest,SPEAKER_00,HOST,male,1990,8,4.020100502512563,3,1.507537688442211,0,0.0,0,0.0
ep_052_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,female,6405,15,2.34192037470726,3,0.468384074941452,1,0.156128024980484,3,0.468384074941452
ep_040_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,male,10244,94,9.176103084732526,17,1.6595080046856696,2,0.19523623584537292,14,1.3666536509176104
ep_040_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,male,16687,112,6.71181158986037,44,2.6367831245880025,5,0.2996344459759094,19,1.1386108947084557
ep_082_whisperx_diarized.gender.host_guest,SPEAKER_00,HOST,male,3135,17,5.422647527910685,9,2.8708133971291865,3,0.9569377990430622,2,0.6379585326953748
ep_082_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,male,13013,21,1.6137708445400754,11,0.8453085376162299,10,0.7684623069238454,6,0.4610773841543072
ep_041_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,male,12377,34,2.747030782903773,12,0.9695402763189788,12,0.9695402763189788,10,0.8079502302658156
ep_041_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,male,3958,30,7.5795856493178375,5,1.2632642748863063,4,1.010611419909045,3,0.7579585649317837
ep_085_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,male,4336,40,9.22509225092251,4,0.9225092250922509,5,1.1531365313653137,4,0.9225092250922509
ep_085_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,male,8137,145,17.81983532014256,8,0.9831633280078652,10,1.2289541600098315,26,3.195280816025562
ep_015_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,female,2081,19,9.13022585295531,1,0.4805382027871216,6,2.883229216722729,2,0.9610764055742432
ep_015_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,female,10323,82,7.943427298266008,5,0.4843553230650005,8,0.7749685169040007,16,1.5499370338080014
ep_003_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,male,1977,9,4.552352048558422,2,1.0116337885685383,11,5.56398583712696,3,1.5174506828528074
ep_003_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,male,4019,34,8.459815874595671,5,1.244090569793481,0,0.0,9,2.2393630256282657
ep_067_whisperx_diarized.gender.host_guest,SPEAKER_00,HOST,male,5985,77,12.865497076023393,20,3.341687552213868,7,1.1695906432748537,4,0.6683375104427737
ep_067_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,male,2146,30,13.979496738117428,1,0.4659832246039142,4,1.863932898415657,1,0.4659832246039142
ep_043_whisperx_diarized.gender.host_guest,SPEAKER_00,HOST,male,8414,100,11.88495364868077,8,0.9507962918944616,7,0.831946755407654,14,1.663893510815308
ep_043_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,female,12594,143,11.354613307924408,17,1.3498491345084962,8,0.6352231221216452,16,1.2704462442432904
ep_071_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,male,8211,13,1.5832419924491536,5,0.608939227865059,1,0.12178784557301181,8,0.9743027645840945
ep_071_whisperx_diarized.gender.host_guest,SPEAKER_00,HOST,male,1614,10,6.195786864931847,3,1.858736059479554,5,3.0978934324659235,3,1.858736059479554
ep_068_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,male,1060,9,8.49056603773585,0,0.0,11,10.377358490566037,1,0.9433962264150944
ep_068_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,male,8191,41,5.005493834696618,2,0.24417043096081065,3,0.366255646441216,1,0.12208521548040532
ep_031_whisperx_diarized.gender.host_guest,SPEAKER_00,HOST,male,20332,238,11.705685618729095,16,0.7869368483179224,9,0.4426519771788314,8,0.3934684241589612
ep_031_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,male,2719,11,4.045605001838911,3,1.1033468186833395,8,2.942258183155572,7,2.574475910261125
ep_047_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,male,10911,50,4.582531390340024,11,1.0081569058748052,29,2.6578682063972137,8,0.7332050224544038
ep_047_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,male,912,7,7.675438596491228,2,2.1929824561403506,3,3.289473684210526,1,1.0964912280701753
ep_084_whisperx_diarized.gender.host_guest,SPEAKER_00,HOST,female,9093,74,8.138128230506982,8,0.8797976465412956,7,0.7698229407236336,5,0.5498735290883097
ep_084_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,unknown,4346,42,9.66405890473999,3,0.6902899217671422,13,2.991256327657616,5,1.150483202945237
ep_077_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,male,18146,22,1.2123884051581615,5,0.2755428193541276,9,0.49597707483742975,25,1.377714096770638
ep_077_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,male,3546,23,6.486181613085167,1,0.28200789622109423,8,2.256063169768754,10,2.8200789622109417
ep_109_whisperx_diarized.gender.host_guest,SPEAKER_00,HOST,male,2901,35,12.06480523957256,1,0.3447087211306446,5,1.723543605653223,4,1.3788348845225784
ep_109_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,male,10151,60,5.910747709585262,4,0.39404984730568415,2,0.19702492365284208,25,2.462811545660526
ep_060_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,male,4462,38,8.516360376512775,5,1.1205737337516808,8,1.7929179740026895,10,2.2411474675033616
ep_060_whisperx_diarized.gender.host_guest,SPEAKER_00,HOST,male,12175,134,11.006160164271048,12,0.9856262833675565,4,0.32854209445585214,7,0.5749486652977414
ep_069_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,male,3129,21,6.7114093959731544,1,0.31959092361776925,6,1.9175455417066154,2,0.6391818472355385
ep_069_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,male,14733,59,4.004615489038213,5,0.3393741939862893,1,0.06787483879725785,6,0.4072490327835471
ep_101_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,male,1153,12,10.407632263660018,2,1.7346053772766694,6,5.203816131830009,2,1.7346053772766694
ep_101_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,female,3503,18,5.138452754781616,4,1.1418783899514702,4,1.1418783899514702,14,3.9965743648301455
ep_083_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,male,5414,21,3.878832656076838,4,0.7388252678241596,8,1.4776505356483192,8,1.4776505356483192
ep_083_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,male,3232,19,5.878712871287129,3,0.9282178217821782,11,3.4034653465346536,8,2.4752475247524752
